stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1085,1085,MALASPINA - TURRISI COLONNA,,38.125216770000002,13.34629638,1,,,,Europe/Rome,1
1089,1089,MANDERINO - FILISTO,,38.199556729999998,13.279991000000001,1,,,,Europe/Rome,1
1090,1090,MANDERINO - FILISTO,,38.199591669999997,13.279996669999999,1,,,,Europe/Rome,1
1091,1091,MANDERINO - TERENZIO,,38.198339439999998,13.278129549999999,1,,,,Europe/Rome,1
1092,1092,MANDERINO - TERENZIO,,38.198348330000002,13.27810833,1,,,,Europe/Rome,1
1093,1093,MAQUEDA - PALAZZO COMITINI,,38.113277949999997,13.362978549999999,1,,,,Europe/Rome,1
1095,1095,MAQUEDA - S. ANTONINO,,38.111199399999997,13.364342710000001,1,,,,Europe/Rome,1
11,11,ACC. A29 MONTE 1,,38.182674409999997,13.29064198,1,,,,Europe/Rome,1
1101,1101,MARGHERITA DI SAVOIA - DELLE PALME,,38.195845769999998,13.33204329,1,,,,Europe/Rome,1
1104,1104,MARGHERITA DI SAVOIA - MATER DEI,,38.195666599999996,13.331931980000006,1,,,,Europe/Rome,1
1109,1109,MARGHERITA DI SAVOIA - PIAZZA CABOTO,,38.193045300000001,13.33246842,1,,,,Europe/Rome,1
1110,1110,MARGHERITA DI SAVOIA - PIAZZA CABOTO,,38.193372050000001,13.332280669999996,1,,,,Europe/Rome,1
1111,1111,MARGHERITA DI SAVOIA - VENERE,,38.191762550000007,13.332661540000002,1,,,,Europe/Rome,1
1112,1112,MARGHERITA DI SAVOIA - VENERE,,38.191984949999998,13.332485850000005,1,,,,Europe/Rome,1
1113,1113,MARINI,,38.100479540000002,13.35051582,1,,,,Europe/Rome,1
1114,1114,MARINI,,38.100586669999998,13.35034667,1,,,,Europe/Rome,1
1116,1116,MARINUZZI - PALERMO,,38.106243329999998,13.36486,1,,,,Europe/Rome,1
1117,1117,MARINUZZI - PISACANE,,38.107910100000012,13.36373895,1,,,,Europe/Rome,1
1118,1118,MATER DOLOROSA - BARBADORO,,38.174578330000003,13.332685,1,,,,Europe/Rome,1
1119,1119,MATER DOLOROSA - BARBADORO,,38.174376670000001,13.33210167,1,,,,Europe/Rome,1
112,112,AQUINO 1 MONTE,,38.077393350000001,13.312184220000001,1,,,,Europe/Rome,1
1120,1120,MATER DOLOROSA - CAMARINA,,38.175229999999999,13.334569999999999,1,,,,Europe/Rome,1
1121,1121,MATER DOLOROSA - CAMARINA,,38.175176669999999,13.334326669999999,1,,,,Europe/Rome,1
1122,1122,MATER DOLOROSA - MERCADANTE,,38.173766669999999,13.330448329999999,1,,,,Europe/Rome,1
1123,1123,MATER DOLOROSA - PETROSINO,,38.173468329999999,13.329759999999997,1,,,,Europe/Rome,1
1124,1124,MATTEI - AFRODITE,,38.193738840000002,13.321948799999999,1,,,,Europe/Rome,1
1125,1125,MATTEI - CALLIOPE,,38.192176789999998,13.32253888,1,,,,Europe/Rome,1
1126,1126,MATTEI - COLLOTTI,,38.195372540000001,13.32106903,1,,,,Europe/Rome,1
1127,1127,MATTEI - GIUGNONE,,38.194891669999997,13.32152,1,,,,Europe/Rome,1
1128,1128,MATTEI - TERSICORE,,38.193579800000002,13.32216354,1,,,,Europe/Rome,1
1129,1129,MATTEI,,38.191474999999997,13.322480000000001,1,,,,Europe/Rome,1
113,113,AQUINO 1 VALLE,,38.077379999999998,13.31225667,1,,,,Europe/Rome,1
1130,1130,MERCURIO,,38.204672940000002,13.31804651,1,,,,Europe/Rome,1
1131,1131,MESSINA MARINE - ACQUA DEI CORSARI,,38.096716669999992,13.426878329999996,1,,,,Europe/Rome,1
1132,1132,MESSINA MARINE - ACQUA DEI CORSARI,,38.096798330000006,13.42648833,1,,,,Europe/Rome,1
1133,1133,MESSINA MARINE - ALAGNA,,38.104381670000002,13.390753329999999,1,,,,Europe/Rome,1
1134,1134,MESSINA MARINE - ALAGNA,,38.10435167,13.390951669999996,1,,,,Europe/Rome,1
1135,1135,MESSINA MARINE - ALBRICCI,,38.102384999999998,13.395825,1,,,,Europe/Rome,1
1136,1136,MESSINA MARINE - ALBRICCI,,38.102370000000001,13.396123329999998,1,,,,Europe/Rome,1
